,Code,Description
77,A15.9,"Φυματίωση του αναπνευστικού μη καθορισμένη, επιβεβαιωμένη βακτηριολογικά και ιστολογικά"
78,A16,"Φυματίωση του αναπνευστικού, που δεν έχει επιβεβαιωθεί βακτηριολογικά και ιστολογικά"
79,A16.0,"Φυματίωση του πνεύμονα, βακτηριολογικά και ιστολογικά αρνητική"
80,A16.1,"Φυματίωση του πνεύμονα, που δεν έχει γίνει βακτηριολογική και ιστολογική εξέταση"
81,A16.2,"Φυματίωση του πνεύμονα, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση"
82,A16.3,"Φυματίωση των ενδοθωρακικών λεμφαδένων, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση"
83,A16.4,"Φυματίωση του λάρυγγα, της τραχείας και των βρόγχων, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση"
84,A16.5,"Φυματιώδης πλευρίτιδα, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση"
85,A16.7,Πρωτοπαθής φυματίωση του αναπνευστικού χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση
86,A16.8,"Άλλες μορφές φυματίωσης του αναπνευστικού, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση"
87,A16.9,"Φυματίωση του αναπνευστικού μη καθορισμένη, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση"
88,A17.0,Φυματιώδης μηνιγγίτιδα 
89,A17.1,Μηνιγγικό φυμάτωμα 
90,A17.8,Άλλες μορφές φυματίωσης του νευρικού συστήματος
91,A17.9,"Φυματίωση του νευρικού συστήματος, μη καθορισμένη  "
92,A17,Φυματίωση του νευρικού συστήματος
93,A18,Φυματίωση άλλων οργάνων
94,A18.0,Φυματίωση των οστών και των αρθρώσεων
95,A18.1,Φυματίωση του ουρογεννητικού συστήματος
96,A18.2,Φυματιώδης περιφερική λεμφαδενοπάθεια
97,A18.3,"Φυματίωση των εντέρων, του περιτοναίου και των μεσεντέριων αδένων"
98,A18.4,Φυματίωση του δέρματος και του υποδόριου ιστού
99,A18.5,Φυματίωση του οφθαλμού
100,A18.6,Φυματίωση του ωτός
101,A18.7,Φυματίωση των επινεφριδίων  
102,A18.8,Φυματίωση άλλων καθορισμένων οργάνων
103,A19,Κεχροειδής φυματίωση
104,A19.0,Οξεία κεχροειδής φυματίωση μονήρους καθορισμένης εντόπισης
105,A19.1,Οξεία κεχροειδής φυματίωση πολλαπλών εντοπίσεων
106,A19.2,"Οξεία κεχροειδής φυματίωση, μη καθορισμένη"
107,A19.8,Άλλη κεχροειδής φυματίωση
108,A19.9,"Κεχροειδής φυματίωση, μη καθορισμένη"
109,A20,Πανώλης
110,A20.0,Βουβωνική πανώλης
111,A20.1,Δερματική πανώλης
112,A20.2,Πνευμονική πανώλης
113,A20.3,Μηνιγγίτιδα από πανώλη
114,A20.7,Σηψαιμική πανώλης
115,A20.8,Άλλες μορφές πανώλους
116,A20.9,"Πανώλης, μη καθορισμένη"
117,A21,Τουλαραιμία
118,A21.0,Ελκοαδενική τουλαραιμία
119,A21.1,Οφθαλμοαδενική τουλαραιμία
120,A21.2,Πνευμονική τουλαραιμία
121,A21.3,Γαστρεντερική τουλαραιμία
122,A21.7,Γενικευμένη τουλαραιμία
123,A21.8,Άλλες μορφές τουλαραιμίας
124,A21.9,"Τουλαραιμία, μη καθορισμένη"
125,A22,Άνθρακας
126,A22.0,Δερματικός άνθρακας
127,A22.1,Πνευμονικός άνθρακας
128,A22.2,Γαστρεντερικός άνθρακας
129,A22.7,Σηψαιμία από άνθρακα
130,A22.8,Άλλες μορφές άνθρακα
131,A22.9,"Άνθρακας, μη καθορισμένος"
132,A23,Βρουκέλλωση
133,A23.0,Βρουκέλωση από Brucella melitensis
134,A23.1,Βρουκέλωση από Brucella abortus
135,A23.2,Βρουκέλωση  από Brucella suis
136,A23.3,Βρουκέλωση απόBrucella canis
137,A23.8,Άλλη βρουκέλλωση
138,A23.9,"Βρουκέλλωση, μη καθορισμένη"
139,A24,Μάλη και μελιοείδωση
140,A24.0,Μάλη
141,A24.1,Οξεία και κεραυνοβόλος μελιοείδωση
142,A24.2,Υποξεία και χρόνια μελιοείδωση
143,A24.3,Άλλη  μελιοείδωση
144,A24.4,"Μελιοείδωση, μη καθορισμένη "
145,A25,Πυρετοί από δάγκωμα επίμυος
146,A25.0,Σπειρίλλωση
147,A25.1,Στρεπτοβακίλλωση
148,A25.9,"Πυρετός από δάγκωμα επίμυος, μη καθορισμένος  "
149,A26,Ερυσιπελοειδές
150,A26.0,Δερματικό ερυσιπελοειδές
151,A26.7,Σηψαιμία από Erysipelothrix
152,A26.8,Άλλες μορφές ερυσιπελοειδούς
153,A26.9,"Ερυσιπελοειδές, μη καθορισμένο  "
154,A27,Λεπτοσπείρωση
155,A27.0,Ικτεροαιμορραγική λεπτοσπείρωση
156,A27.8,Άλλες μορφές λεπτοσπείρωσης
157,A27.9,"Λεπτοσπείρωση, μη καθορισμένη"
158,A28,"Άλλες βακτηριακές ζωοανθρωπονόσοι, που δεν ταξινομούνται αλλού"
159,A28.0,Παστερέλλωση
160,A28.1,Νόσος από αμυχές γάτας
161,A28.2,Εξωεντερική υερσινίωση
162,A28.8,"Άλλες καθορισμένες βακτηριακές ζωοανθρωπονόσοι, που δεν ταξινομούνται αλλού"
163,A28.9,"Βακτηριακή ζωοανθρωπονόσος, μη καθορισμένη"
164,A30,Λέπρα [νόσος του Hansen]
165,A30.0,Ακαθόριστη λέπρα
166,A30.1,Φυματιώδης λέπρα
167,A30.2,Οριακή φυματιώδης λέπρα
168,A30.3,Οριακή λέπρα
169,A30.4,Οριακή λεπρωματώδης λέπρα
170,A30.5,Λεπρωματώδης λέπρα
171,A30.8,Άλλες μορφές λέπρας
172,A30.9,"Λέπρα, μη καθορισμένη"
173,A31,Λοίμωξη από άλλα μυκοβακτηρίδια
174,A31.0,Πνευμονική μυκοβακτηριδιακή λοίμωξη
175,A31.1,Δερματική μυκοβακτηριδιακή λοίμωξη
176,A31.8,Άλλες μυκοβακτηριδιακές λοιμώξεις
177,A31.9,"Μυκοβακτηριδιακή λοίμωξη, μη καθορισμένη"
178,A32,Λιστερίωση
179,A32.0,Δερματική λιστερίωση
180,A32.1,Μηνιγγίτιδα και μηνιγγοεγκεφαλίτιδα από λιστέρια
181,A32.7,Σηψαιμία από λιστέρια
182,A32.8,Άλλες μορφές λιστερίωσης
183,A32.9,"Λιστερίωση, μη καθορισμένη"
184,A33,Τέτανος νεογνικός
185,A34,Τέτανος μαιευτικός
186,A35,Άλλα είδη τετάνου
187,A36,Διφθερίτιδα
188,A36.0,Φαρυγγική διφθερίτιδα
189,A36.1,Ρινοφαρυγγική διφθερίτιδα
190,A36.2,Λαρυγγική διφθερίτιδα
191,A36.3,Δερματική διφθερίτιδα
192,A36.8,Άλλες μορφές διφθερίτιδας
193,A36.9,"Διφθερίτιδα, μη καθορισμένη"
194,A37,Κοκκύτης
195,A37.0,Κοκκύτης  από Bordetella pertussis
196,A37.1,Κοκκύτης από Βordetella parapertussis
197,A37.8,Κοκκύτης  από άλλα είδη Bordetella
198,A37.9,"Κοκκύτης, μη καθορισμένος"
199,A38,Οστρακιά
200,A39,Μηνιγγιτιδοκοκκική λοίμωξη
201,A39.0,Μηνιγγιτιδοκοκκική μηνιγγίτιδα 
202,A39.1,Σύνδρομο Waterhouse-Friederichsen  
203,A39.2,Οξεία μηνιγγιτιδοκοκκική σηψαιμία
204,A39.3,Χρονία μηνιγγιτιδοκοκκική σηψαιμία
205,A39.4,"Μηνιγγιτιδοκοκκική σηψαιμία, μη καθορισμένη"
206,A39.5,Μηνιγγιτιδοκοκκική καρδιοπάθεια
207,A39.8,Άλλες μηνιγγιτιδοκοκκικές λοιμώξεις
208,A39.9,"Μηνιγγιτιδοκοκκική λοίμωξη, μη καθορισμένη"
209,A40,Στρεπτοκοκκική σηψαιμία
210,A40.0,"Σηψαιμία από Streptococcus, ομάδας A"
211,A40.1,"Σηψαιμία από Streptococcus, ομάδας B"
212,A40.2,"Σηψαιμία από Streptococcus, ομάδας D"
213,A40.3,Σηψαιμία από Streptococcus pneumoniae
214,A40.8,Άλλη στρεπτοκοκκική σηψαιμία
215,A40.9,"Στρεπτοκοκκική σηψαιμία, μη καθορισμένη"
216,A41,Άλλες μορφές σηψαιμίας
217,A41.0,Σηψαιμία από Staphylococcus aureus
218,A41.1,Σηψαιμία που οφείλεται σε άλλο καθορισμένο σταφυλόκοκκο
219,A41.2,Σηψαιμία  από μη καθορισμένο σταφυλόκοκκο
220,A41.3,Σηψαιμία  από Haemophilus influenzae
221,A41.4,Σηψαιμία από αναερόβια
222,A41.5,Σηψαιμία από άλλους gram- αρνητικούς μικροοργανισμούς
223,A41.8,Άλλες καθορισμένες μορφές σηψαιμίας
224,A41.9,"Σηψαιμία, μη καθορισμένη"
225,A42,Ακτινομυκητίαση
226,A42.0,Πνευμονική ακτινομυκητίαση
227,A42.1,Κοιλιακή ακτινομυκητίαση
228,A42.2,Τραχηλοπροσωπική ακτινομυκητίαση
229,A42.7,Σηψαιμία από ακτινομύκητα
230,A42.8,Άλλες μορφές ακτινομυκητίασης
231,A42.9,"Ακτινομυκητίαση, μη καθορισμένη"
232,A43,Νοκαρδίωση
233,A43.0,Πνευμονική νοκαρδίωση
234,A43.1,Δερματική νοκαρδίωση
235,A43.8,Άλλες μορφές νοκαρδίωσης
236,A43.9,"Νοκαρδίωση, μη καθορισμένη"
237,A44,Μπαρτονέλλωση
238,A44.0,Συστηματική μπαρτονέλλωση
239,A44.1,Δερματική και βλενογοννοδερματική μπαρτονέλλωση
240,A44.8,Άλλες μορφές μπαρτονέλλωσης
241,A44.9,"Μπαρτονέλλωση, μη καθορισμένη"
242,A46,Ερυσίπελας
243,A48,Άλλα βακτηριακά νοσήματα που δεν ταξινομούνται αλλού
244,A48.0,Αεριογόνος γάγγραινα
245,A48.1,Νόσος των Λεγεωναρίων
246,A48.2,Εξωπνευμονική νόσος των Λεγεωναρίων [Πυρετός Pontiac]
247,A48.3,Σύνδρομο τοξικής καταπληξίας
248,A48.4,Πορφυρικός πυρετός της Βραζιλίας
249,A48.8,Άλλα καθορισμένα βακτηριακά νοσήματα
250,A49,Βακτηριακή λοίμωξη μη καθορισμένης εντόπισης
251,A49.0,"Σταφυλοκοκκική λοίμωξη, μη καθορισμένης εντόπισης"
252,A49.1,"Στρεπτοκοκκική λοίμωξη, μη καθορισμένης εντόπισης"
253,A49.2,"Λοίμωξη από Haemophilus influenzae, μη καθορισμένης εντόπισης"
254,A49.3,"Λοίμωξη από μυκόπλασμα, μη καθορισμένης εντόπισης"
255,A49.8,Άλλες βακτηριακές λοιμώξεις μη καθορισμένης εντόπισης
256,A49.9,"Βακτηριακή λοίμωξη, μη καθορισμένη"
257,A50,Συγγενής σύφιλη
258,A50.0,"Πρώιμη συγγενής σύφιλη, συμπτωματική "
259,A50.1,"Πρώιμη συγγενής σύφιλη, λανθάνουσα"
260,A50.2,"Πρώιμη συγγενής σύφιλη, μη καθορισμένη"
261,A50.3,Όψιμη συγγενής συφιλιδική οφθαλμοπάθεια
262,A50.4,Όψιμη συγγενής νευροσύφιλη [νεανική νευροσύφιλη]
263,A50.5,"Άλλη όψιμη συγγενής σύφιλη, συμπτωματική"
264,A50.6,"Όψιμη συγγενής σύφιλη, λανθάνουσα"
265,A50.7,"Όψιμη συγγενής σύφιλη, μη καθορισμένη"
266,A50.9,"Συγγενής σύφιλη, μη καθορισμένη"
267,A51,Πρώιμη σύφιλη
268,A51.0,Πρωτοπαθής σύφιλη των γεννητικών οργάνων
269,A51.1,Πρωτοπαθής σύφιλη του πρωκτού
270,A51.2,Πρωτοπαθής σύφιλη άλλων εντοπίσεων
271,A51.3,Δευτερογενής σύφιλη του δέρματος και των βλεννογόνων
272,A51.4,Άλλη δευτερογενής σύφιλη
273,A51.5,"Πρώιμη σύφιλη, λανθάνουσα"
274,A51.9,"Πρώιμη σύφιλη, μη καθορισμένη"
275,A52,Όψιμη σύφιλη
276,A52.0,Καρδιαγγειακή σύφιλη 
277,A52.1,Συμπτωματική νευροσύφιλη
278,A52.2,Ασυμπτωματική νευροσύφιλη
279,A52.3,"Νευροσύφιλη, μη καθορισμένη "
280,A52.7,Άλλη συμπτωματική όψιμη σύφιλη
281,A52.8,"Όψιμη σύφιλη, λανθάνουσα"
282,A52.9,"Όψιμη σύφιλη, μη καθορισμένη"
283,A53,Άλλη και μη καθορισμένη σύφιλη
284,A53.0,"Λανθάνουσα σύφιλη, μη καθορισμένη ως πρώιμη ή όψιμη"
285,A53.9,"Σύφιλη, μη καθορισμένη"
286,A54,Γονοκοκκικές λοιμώξεις
287,A54.0,Γονοκοκκική λοίμωξη του κατώτερου ουρογεννητικού συστήματος χωρίς περιουρηθρικό απόστημα ή απόστημα των επικουρικών αδένων
288,A54.1,Γονοκοκκική λοίμωξη του κατώτερου ουρογεννητικού συστήματος με περιουρηθρικό απόστημα και απόστημα των επικουρικών αδένων
289,A54.2,Γονοκοκκική πυελοπεριτονίτιδα και άλλες γονοκοκκικές ουρογεννητικές λοιμώξεις 
290,A54.3,Γονοκοκκική λοίμωξη του οφθαλμού
291,A54.4,Γονοκοκκική λοίμωξη του μυοσκελετικού συστήματος
292,A54.5,Γονοκοκκική φαρυγγίτιδα
293,A54.6,Γονοκοκκική λοίμωξη του πρωκτού και του ορθού
294,A54.8,Άλλες γονοκοκκικές λοιμώξεις
295,A54.9,"Γονοκοκκική λοίμωξη, μη καθορισμένη"
296,A55,Χλαμυδιακό λεμφοκοκκίωμα αφροδίσιο
297,A56,Άλλα σεξουαλικώς μεταδιδόμενα χλαμυδιακά νοσήματα 
298,A56.0,Χλαμυδιακή λοίμωξη του κατώτερου ουρογεννητικού συστήματος
299,A56.1,Χλαμυδιακή λοίμωξη του πυελικού περιτοναίου και άλλων οργάνων του ουρογεννητικού συστήματος
300,A56.2,"Χλαμυδιακή λοίμωξη του ουρογεννητικού συστήματος, μη καθορισμένη"
301,A56.3,Χλαμυδιακή λοίμωξη του πρωκτού και του ορθού 
302,A56.4,Χλαμυδιακή λοίμωξη του φάρυγγα
303,A56.8,Σεξουαλικώς μεταδιδόμενη χλαμυδιακή λοίμωξη άλλων εντοπίσεων
304,A57,Μαλακό έλκος
305,A58,Αφροδίσιο κοκκίωμα
306,A59,Τριχομονάδωση
307,A59.0,Τριχομονάδωση του ουρογεννητικού συστήματος  
308,A59.8,Tριχομονάδωση άλλων εντοπίσεων
309,A59.9,"Τριχομονάδωση, μη καθορισμένη"
310,A60,Πρωκτογεννητική ερπητική λοίμωξη [από τον ιό του απλού έρπητα]
311,A60.0,Ερπητική λοίμωξη των γεννητικών οργάνων και του ουρογεννητικού συστήματος
312,A60.1,Ερπητική λοίμωξη του περιπρωκτικού δέρματος και του ορθού
313,A60.9,"Πρωκτογεννητική ερπητική λοίμωξη, μη καθορισμένη"
314,A63,"Άλλα νοσήματα που μεταδίδονται κυρίως με τη σεξουαλική οδό, που δεν ταξινομούνται αλλού"
315,A63.0,Οξυτενή κονδυλώματα του πρωκτού και των γεννητικών οργάνων αφροδίσια
316,A63.8,Άλλα καθορισμένα νοσήματα που μεταδίδονται κυρίως με τη σεξουαλική οδό
317,A64,Μη καθορισμένο σεξουαλικώς μεταδιδόμενο νόσημα 
318,A65,Μη αφροδίσια σύφιλη
319,A66,Τροπική μόρωση [τροπικό θήλωμα] [Yaws]
320,A66.0,Αρχικές βλάβες της τροπικής μόρωσης
321,A66.1,Πολλαπλά θηλώματα και υγρή «δύστροπη» τροπική μόρωση [wet crab yaws]
322,A66.2,Άλλες πρώιμες δερματικές βλάβες της τροπικής μόρωσης
323,A66.3,Υπερκεράτωση της τροπικής μόρωσης
324,A66.4,Κομμιώματα και έλκη της τροπικής μόρωσης
325,A66.5,Gangosa [Διαβρωτική μόρωση]
326,A66.6,Βλάβες οστών και αρθρώσεων σε τροπική μόρωση
327,A66.7,Άλλες εκδηλώσεις της τροπικής μόρωσης
328,A66.8,Λανθάνουσα τροπική μόρωση
329,A66.9,"Τροπική μόρωση, μη καθορισμένη"
330,A67,Πίντα [κηλιδώδης νόσος]
331,A67.0,Πρώιμες βλάβες της κηλιδώδους νόσου
332,A67.1,Ενδιάμεσες βλάβες της κηλιδώδους νόσου
333,A67.2,Όψιμες βλάβες της κηλιδώδους νόσου
334,A67.3,Μικτές βλάβες της κηλιδώδους νόσου
335,A67.9,"Πίντα [κηλιδώδης νόσος], μη καθορισμένη"
336,A68,Υπόστροφος πυρετός 
337,A68.0,Υπόστροφος πυρετός που μεταδίδεται με φθείρες
338,A68.1,Υπόστροφος πυρετός που μεταδίδεται με κρότωνες
339,A68.9,"Υπόστροφος πυρετός, μη καθορισμένος"
340,A69,Άλλες σπειροχαιτικές λοιμώξεις
341,A69.0,Νεκρωτική ελκώδης στοματίτιδα
342,A69.1,Άλλες λοιμώξεις του Vincent
343,A69.2,Νόσος Lyme
344,A69.8,Άλλες καθορισμένες σπειροχαιτικές λοιμώξεις
345,A69.9,"Σπειροχαιτική λοίμωξη, μη καθορισμένη"
346,A70,Λοίμωξη από Chlamydia psittaci
347,A71,Τράχωμα
348,A71.0,Αρχικό στάδιο του τραχώματος
349,A71.1,Ενεργό στάδιο του τραχώματος
350,A71.9,"Τράχωμα, μη καθορισμένο. "
351,A74,Άλλα νοσήματα που προκαλούνται από χλαμύδια
352,A74.0,Χλαμυδιακή επιπεφυκίτιδα  
353,A74.8,Άλλα χλαμυδιακά νοσήματα 
354,A74.9,"Χλαμυδική λοίμωξη, μη καθορισμένη"
355,A75,Πυρετός τύφου [typhus fever]
356,A75.0,Επιδημικός πυρετός τύφου από  Rickettsia prowazekii που μεταδίδεται με τις φθείρες
357,A75.1,Υποτροπιάζων παροξυσμικός τύφος [νόσος του Brill]
358,A75.2,Τύφος πυρετός από Rickettsia typhi
359,A75.3,Τύφος πυρετός από Rickettsia tsutsugamushi
360,A75.9,"Τύφος πυρετός, μη καθορισμένος"
361,A77,Κηλιδοβλατιδώδης πυρετός [κροτωνογενείς ρικετσιώσεις]
362,A77.0,Κηλιδώδης πυρετός από Rickettsia rickettsii
363,A77.1,Κηλιδοβλατιδώδης πυρετός από Rickettsia conorii
364,A77.2,Κηλιδώδης πυρετός από Rickettsia sibirica
365,A77.3,Κηλιδώδης πυρετός από Rickettsia australis
366,A77.8,Άλλοι κηλιδώδεις πυρετοί
367,A77.9,"Κηλιδώδης πυρετός, μη καθορισμένος"
368,A78,Πυρετός Q
369,A79,Άλλες ρικετσιώσεις
370,A79.0,Πυρετός των χαρακωμάτων  
371,A79.1,Ρικετσιακή ανεμευλογιά από Rickettsia akari
372,A79.8,Άλλες καθορισμένες ρικετσιώσεις
373,A79.9,"Ρικετσίωση, μη καθορισμένη"
374,A80,Οξεία πολιομυελίτιδα
375,A80.0,"Οξεία παραλυτική πολιομυελίτιδα, που σχετίζεται με το εμβόλιο"
376,A80.1,"Οξεία παραλυτική πολιομυελίτιδα, από άγριο ιό, εισαγόμενο"
377,A80.2,"Οξεία παραλυτική πολιομυελίτιδα, από άγριο ιό, αυτόχθονα"
378,A80.3,"Οξεία παραλυτική πολιομυελίτιδα, άλλη και μη καθορισμένη"
379,A80.4,Οξεία μη παραλυτική πολιομυελίτιδα
380,A80.9,"Οξεία πολιομυελίτιδα, μη καθορισμένη"
381,A81,Άτυπες ιογενείς λοιμώξεις του κεντρικού νευρικού συστήματος
382,A81.0,Νόσος Creutzfeldt-Jakob
383,A81.1,Υποξεία σκληρυντική πανεγκεφαλίτιδα
384,A81.2,Προϊούσα πολυεστιακή λευκοεγκεφαλοπάθεια
385,A81.8,Άλλες άτυπες ιογενείς λοιμώξεις του κεντρικού νευρικού συστήματος
386,A81.9,"Άτυπη ιογενής λοίμωξη του κεντρικού νευρικού συστήματος, μη καθορισμένη"
387,A82,Λύσσα
388,A82.0,Λύσσα των δασών
389,A82.1,Αστικός τύπος λύσσας
390,A82.9,"Λύσσα, μη καθορισμένη"
391,A83,Ιογενής εγκεφαλίτιδα που μεταδίδεται με κουνούπια
392,A83.0,Ιαπωνική εγκεφαλίτιδα
393,A83.1,Δυτική εγκεφαλίτιδα των αλόγων
394,A83.2,Ανατολική εγκεφαλίτιδα των αλόγων
395,A83.3,Εγκεφαλίτιδα του St. Louis
396,A83.4,Αυστραλιανή εγκεφαλίτιδα
397,A83.5,Εγκεφαλίτιδα της Καλιφόρνιας
398,A83.6,Νόσος από ιό Rocio
399,A83.8,Άλλη ιογενής εγκεφαλίτιδα που μεταδίδεται με κουνούπια
400,A83.9,"Ιογενής εγκεφαλίτιδα που μεταδίδεται με κουνούπια, μη καθορισμένη"
401,A84,Κροτωνογενής ιογενής εγκεφαλίτιδα
402,A84.0,Κροτωνογενής εγκεφαλίτιδα της Άπω Ανατολής [Ρωσσική εγκεφαλίτιδα άνοιξης-καλοκαιριού]
403,A84.1,Κροτωνογενής εγκεφαλίτιδα της Κεντρικής Ευρώπης
404,A84.8,Άλλη κροτωνογενής ιογενής εγκεφαλίτιδα
405,A84.9,"Ιογενής κροτωνογενής εγκεφαλίτιδα, μη καθορισμένη"
406,A85,"Άλλη ιογενής εγκεφαλίτιδα, που δεν ταξινομείται αλλού"
407,A85.0,Εγκεφαλίτιδα από εντεροϊό  
408,A85.1,Εγκεφαλίτιδα από αδενοϊό  
409,A85.2,"Ιογενής εγκεφαλίτιδα μεταδιδόμενη με αρθρόποδα, μη καθορισμένη"
410,A85.8,Άλλη καθορισμένη ιογενής εγκεφαλίτιδα
411,A86,Μη καθορισμένη ιογενής εγκεφαλίτιδα 
412,A87,Ιογενής μηνιγγίτιδα
413,A87.0,Μηνιγγίτιδα από εντεροϊό  
414,A87.1,Μηνιγγίτιδα από αδενοϊό  
415,A87.2,Λεμφοκυτταρική χοριομηνιγγίτιδα
416,A87.8,Άλλη ιογενής μηνιγγίτιδα
417,A87.9,"Ιογενής μηνιγγίτιδα, μη καθορισμένη"
